rs,name,lon,lat
33,Mariaheide,5.58,51.634
39,Brakel,5.092,51.82
79,Nispen,4.461,51.483
39,Horssen,5.613,51.854
39,Aduard,6.459,53.256
24,Rijpwetering,4.584,52.193
28,Colmschate,6.223,52.249
160,Hengelo,6.31,52.049
112,Wageningen,5.666,51.973
24,Groenekan,5.155,52.123
79,Oisterwijk,5.194,51.575
39,Stedum,6.692,53.322
46,Kollum,6.149,53.281
33,Wedderveer,7.067,53.086
39,Slek,5.883,51.085
55,Peize,6.495,53.149
33,Sinderen,6.463,51.906
39,Okkenbroek,6.321,52.299
24,Sambeek,5.966,51.637
55,Overslag,3.891,51.204
39,Krachtighuizen,5.619,52.24
66,Berltsum,5.65,53.242
24,Burgerbrug,4.703,52.748
33,Prinsenbeek,4.709,51.6
55,Haastrecht,4.776,52
79,Mantgum,5.717,53.128
79,Middenmeer,4.999,52.809
33,Froombosch,6.78,53.193
46,Almere-Buiten,5.264,52.398
55,'t Zand,4.756,52.836
55,Den Ham,6.49,52.464
55,Oud-Beijerland,4.414,51.818
39,Willemsoord,6.062,52.825
55,Borkel,5.441,51.298
39,Wijngaarden,4.763,51.845
66,Raerd,5.758,53.098
46,Stroe,5.692,52.187
39,Usquert,6.613,53.403
55,Nieuwe Pekela,6.964,53.079
33,Elden,5.88,51.959
39,Nuis,6.307,53.152
24,Kubaard,5.571,53.119
24,Godlinze,6.814,53.372
55,Middelstum,6.642,53.348
55,Goutum,5.802,53.179
39,Hollandscheveld,6.537,52.706
28,Asperen,5.114,51.88
33,Sint Annen,6.665,53.298
39,Riethoven,5.387,51.352
24,Bobeldijk,4.999,52.653
39,Renkum,5.736,51.977
39,Herwen,6.1,51.885
24,Oude Meer,4.783,52.286
66,Holwierde,6.871,53.358
33,Opende,6.201,53.172
397,Emmeloord,5.745,52.71
822,Enschede,6.889,52.216
33,Scharendijke,3.841,51.737
46,Wintelre,5.339,51.442
24,Wageningen-Hoog,5.693,51.987
28,Echteld,5.499,51.909
28,Westendorp,6.415,51.951
112,Rijssen,6.514,52.307
94,Ruinen,6.359,52.763
79,Heemstede,4.618,52.348
66,Havelte,6.234,52.774
28,Vriescheloo,7.114,53.07
46,De Vecht,6.04,52.258
66,Ee,6.102,53.33
39,Oudehaske,5.87,52.957
46,Nieuwe-Tonge,4.165,51.713
39,Everdingen,5.157,51.964
33,Serooskerke,3.815,51.703
160,Siddeburen,6.865,53.249
66,Eelde-Paterswolde,6.561,53.138
28,Hulsel,5.181,51.389
28,Doorwerth,5.795,51.98
112,Wergea,5.847,53.152
28,Zwartebroek,5.505,52.179
28,Klijndijk,6.86,52.831
79,Oldemarkt,5.972,52.821
39,Reek,5.682,51.745
39,Den Nul,6.11,52.358
66,Dinxperlo,6.487,51.863
46,Uitweg,5.014,51.984
33,Hoogmade,4.583,52.169
55,Werkhoven,5.244,52.025
24,Waalre,5.445,51.387
66,Almere-Haven,5.223,52.343
39,Reduzum,5.78,53.116
160,Westkapelle,3.441,51.529
66,Meedhuizen,6.911,53.286
39,Hekelingen,4.343,51.826
28,Arum,5.475,53.13
33,Terwolde,6.099,52.282
39,Laag-Soeren,6.078,52.082
33,Waspik,4.947,51.687
66,Etten-Leur,4.651,51.574
33,Landhorst,5.79,51.617
94,De Koog,4.762,53.099
33,Buren,5.801,53.449
46,Beetsterzwaag,6.078,53.06
28,Mook,5.884,51.752
94,Hellevoetsluis,4.133,51.834
